Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	-978.667				
0	-82934.149				
0.001	-65460.205				
0.001	-74694.403				
0.002	-64781.452				
0.002	-70890.229				
0.002	-62887.258				
0.003	-69248.594				
0.003	-58057.062				
0.004	-71979.391				
0.004	-18515.751				
0.004	82444.816				
0.005	70337.756				
0.005	77030.577				
0.006	68980.25				
0.006	73415.822				
0.006	66865.066				
0.007	71758.402				
0.007	62287.429				
0.008	73557.887				
0.008	31759.328				
0.008	-75925.63				
0.009	-68885.54				
0.009	-72926.488				
0.01	-67133.41				
0.01	-69153.884				
0.01	-65302.356				
0.011	-67070.27				
0.011	-61955.945				
0.012	-66170.528				
0.012	-47023.379				
0.012	67717.454				
0.013	76178.189				
0.013	73747.306				
0.014	72421.37				
0.014	70811.305				
0.014	69958.917				
0.015	68838.185				
0.015	66833.496				
0.016	66991.346				
0.016	57473.018				
0.016	-57551.943				
0.017	-75388.941				
0.017	-69169.669				
0.018	-70874.444				
0.018	-66454.657				
0.018	-68490.916				
0.019	-64150.054				
0.019	-66470.442				
0.02	-60093.321				
0.02	-65570.7				
0.02	42098.473				
0.021	83044.644				
0.021	69864.207				
0.022	76067.694				
0.022	68301.497				
0.022	73052.768				
0.023	66233.668				
0.023	71063.864				
0.024	61624.461				
0.024	72547.65				
0.024	-29249.52				
0.025	-81576.643				
0.025	-65902.184				
0.026	-73984.08				
0.026	-64592.033				
0.026	-70669.24				
0.027	-62587.343				
0.027	-69153.884				
0.028	-57236.244				
0.028	-72910.703				
0.028	9676.177				
0.029	86201.635				
0.029	68443.561				
0.03	77882.964				
0.03	67528.034				
0.03	74299.779				
0.031	65460.205				
0.031	72673.929				
0.032	60203.815				
0.032	76493.888				
0.032	4419.787				
0.033	-82507.956				
0.033	-65807.474				
0.034	-74536.554				
0.034	-65018.226				
0.034	-70748.165				
0.035	-63124.032				
0.035	-68932.895				
0.036	-58546.395				
0.036	-71253.283				
0.036	-23598.507				
0.037	80834.75				
0.037	71048.079				
0.038	76620.168				
0.038	69374.874				
0.038	73084.338				
0.039	67212.335				
0.039	71395.348				
0.04	62950.397				
0.04	72579.219				
0.04	36652.664				
0.041	-73636.811				
0.041	-69801.067				
0.042	-72247.735				
0.042	-67780.593				
0.042	-68759.261				
0.043	-65807.474				
0.043	-66533.582				
0.044	-62729.408				
0.044	-65144.506				
0.044	-50890.692				
0.045	64086.914				
0.045	77346.276				
0.046	73021.198				
0.046	73005.413				
0.046	70369.326				
0.047	70527.175				
0.047	68348.852				
0.048	67701.669				
0.048	65886.399				
0.048	60914.138				
0.049	-53258.435				
0.049	-76667.523				
0.05	-68554.056				
0.05	-71505.843				
0.05	-66028.463				
0.051	-68996.035				
0.051	-63755.43				
0.052	-66991.346				
0.052	-59304.073				
0.052	-67559.604				
0.053	36826.298				
0.053	83975.956				
0.054	69406.444				
0.054	76588.598				
0.054	67938.443				
0.055	73415.822				
0.055	65823.259				
0.056	71553.197				
0.056	61040.418				
0.056	73873.586				
0.057	-23614.291				
0.057	-82286.966				
0.058	-65602.27				
0.058	-74315.564				
0.058	-64513.108				
0.059	-70858.659				
0.059	-62476.849				
0.06	-69343.304				
0.06	-57173.104				
0.06	-73179.048				
0.061	3630.539				
0.061	85996.43				
0.062	68538.271				
0.062	77835.609				
0.062	67717.454				
0.063	74094.575				
0.063	65807.474				
0.064	72405.585				
0.064	60850.998				
0.064	75688.855				
0.065	16889.901				
0.065	-80550.621				
0.066	-66880.851				
0.066	-74094.575				
0.066	-65870.614				
0.067	-70274.616				
0.067	-64071.129				
0.068	-68222.572				
0.068	-60045.966				
0.068	-69232.809				
0.069	-34884.749				
0.069	75909.845				
0.07	73100.123				
0.07	75404.726				
0.07	70637.67				
0.071	72153.026				
0.071	68396.207				
0.072	70258.831				
0.072	64607.818				
0.072	70069.412				
0.073	46833.959				
0.073	-67354.4				
0.074	-72263.52				
0.074	-71032.294				
0.074	-69185.454				
0.075	-67701.669				
0.075	-67117.625				
0.076	-65491.775				
0.076	-64560.463				
0.076	-62650.483				
0.077	-58577.965				
0.077	54789.576				
0.078	80045.503				
0.078	71411.133				
0.078	74520.769				
0.079	69232.809				
0.079	71726.832				
0.08	67228.12				
0.08	69359.089				
0.08	63629.15				
0.081	67259.69				
0.081	-42856.151				
0.082	-79129.975				
0.082	-67180.765				
0.082	-72831.779				
0.083	-65286.571				
0.083	-70006.272				
0.084	-63045.107				
0.084	-68269.927				
0.084	-58072.847				
0.085	-70984.939				
0.085	24324.614				
0.086	85649.162				
0.086	68601.411				
0.086	77456.77				
0.087	67480.679				
0.087	73984.08				
0.088	65460.205				
0.088	72310.875				
0.088	60219.6				
0.089	76004.554				
0.089	-10496.995				
0.09	-83107.784				
0.09	-65397.065				
0.09	-74741.758				
0.091	-64513.108				
0.091	-71032.294				
0.092	-62634.698				
0.092	-69359.089				
0.092	-57599.298				
0.093	-72784.424				
0.093	-9676.177				
0.094	84481.075				
0.094	69359.089				
0.094	77567.265				
0.095	68238.357				
0.095	73794.661				
0.096	66186.313				
0.096	72184.596				
0.096	61340.332				
0.097	74915.393				
0.097	23361.732				
0.098	-78877.416				
0.098	-67543.819				
0.098	-73652.596				
0.099	-66328.378				
0.099	-69785.283				
0.1	-64544.678				
0.1	-67701.669				
0.1	-60803.644				
0.101	-68017.368				
0.101	-40014.859				
0.102	72752.854				
0.102	74315.564				
0.102	74710.188				
0.103	71300.638				
0.103	71584.767				
0.104	69027.605				
0.104	69674.788				
0.104	65523.345				
0.105	68838.185				
0.105	51569.445				
0.106	-63534.441				
0.106	-73557.887				
0.106	-70195.691				
0.107	-69943.132				
0.107	-67149.195				
0.108	-67764.808				
0.108	-64860.377				
0.108	-65318.14				
0.109	-61608.676				
0.109	-61750.741				
0.11	49754.176				
0.11	81403.009				
0.11	70811.305				
0.111	75294.232				
0.111	68822.4				
0.112	72342.445				
0.112	66738.786				
0.112	70085.197				
0.113	62697.838				
0.113	69722.143				
0.114	-37252.492				
0.114	-80329.632				
0.114	-66612.507				
0.115	-73400.037				
0.115	-64891.947				
0.116	-70306.186				
0.116	-62760.978				
0.116	-68601.411				
0.117	-57583.513				
0.117	-72058.316				
0.118	18342.117				
0.118	86043.785				
0.118	68427.776				
0.119	77725.114				
0.119	67464.894				
0.12	74173.5				
0.12	65428.635				
0.12	72531.865				
0.121	60124.891				
0.121	76430.748				
0.122	-4356.647				
0.122	-83076.214				
0.122	-65349.71				
0.123	-74725.973				
0.123	-64702.527				
0.124	-70921.799				
0.124	-62792.548				
0.124	-69295.949				
0.125	-57867.642				
0.125	-72358.23				
0.126	-15611.32				
0.126	83202.494				
0.126	69958.917				
0.127	77219.996				
0.127	68711.906				
0.128	73589.456				
0.128	66612.507				
0.128	71916.251				
0.129	62019.085				
0.129	74063.005				
0.13	28949.606				
0.13	-76967.437				
0.13	-68459.346				
0.131	-73115.908				
0.131	-66865.066				
0.132	-69406.444				
0.132	-65081.366				
0.132	-67307.045				
0.133	-61529.751				
0.133	-66833.496				
0.134	-44876.625				
0.134	69516.938				
0.134	75562.576				
0.135	74047.22				
0.135	72058.316				
0.136	71079.649				
0.136	69674.788				
0.136	69090.745				
0.137	66407.302				
0.137	67575.389				
0.138	55673.533				
0.138	-59493.492				
0.138	-74804.898				
0.139	-69453.798				
0.139	-70590.315				
0.14	-66596.722				
0.14	-68254.142				
0.14	-64339.473				
0.141	-66138.958				
0.141	-60503.729				
0.142	-64497.323				
0.142	44466.216				
0.142	82571.095				
0.143	70100.982				
0.143	75862.49				
0.144	68364.637				
0.144	72847.564				
0.144	66328.378				
0.145	70795.52				
0.145	61908.59				
0.146	71789.972				
0.146	-31633.048				
0.146	-81245.159				
0.147	-66060.033				
0.147	-73794.661				
0.148	-64718.312				
0.148	-70590.315				
0.148	-62555.774				
0.149	-69011.82				
0.149	-57299.384				
0.15	-72721.284				
0.15	11917.64				
0.15	86248.99				
0.151	68380.422				
0.151	77914.534				
0.152	67559.604				
0.152	74236.64				
0.152	65507.56				
0.153	72689.714				
0.153	60172.245				
0.154	76509.673				
0.154	2004.689				
0.154	-82760.515				
0.155	-65681.194				
0.155	-74647.048				
0.156	-64891.947				
0.156	-70811.305				
0.156	-63060.892				
0.157	-69059.175				
0.157	-58420.116				
0.158	-71568.982				
0.158	-21404.398				
0.158	81639.783				
0.159	70700.81				
0.159	76856.942				
0.16	69169.669				
0.16	73210.618				
0.16	67038.7				
0.161	71568.982				
0.161	62571.558				
0.162	73021.198				
0.162	34505.91				
0.162	-74662.833				
0.163	-69390.659				
0.163	-72579.219				
0.164	-67464.894				
0.164	-68917.11				
0.164	-65649.625				
0.165	-66723.001				
0.165	-62413.709				
0.166	-65602.27				
0.166	-49312.197				
0.166	65649.625				
0.167	76809.587				
0.167	73336.897				
0.168	72768.639				
0.168	70621.885				
0.168	70306.186				
0.169	68617.196				
0.169	67385.969				
0.17	66328.378				
0.17	59525.062				
0.17	-55152.63				
0.171	-76162.404				
0.171	-68727.691				
0.172	-71300.638				
0.172	-66186.313				
0.172	-68838.185				
0.173	-63992.204				
0.173	-66723.001				
0.174	-59698.697				
0.174	-66801.926				
0.174	38988.837				
0.175	83612.902				
0.175	69627.433				
0.176	76414.963				
0.176	68080.507				
0.176	73289.542				
0.177	65996.894				
0.177	71363.778				
0.178	61214.052				
0.178	73384.252				
0.178	-25808.4				
0.179	-82050.192				
0.179	-65775.904				
0.18	-74157.715				
0.18	-64544.678				
0.18	-70732.38				
0.181	-62492.634				
0.181	-69169.669				
0.182	-57220.459				
0.182	-73147.478				
0.182	5903.573				
0.183	86122.71				
0.183	68443.561				
0.184	77882.964				
0.184	67543.819				
0.184	74236.64				
0.185	65570.7				
0.185	72673.929				
0.186	60361.665				
0.186	76351.823				
0.186	8239.746				
0.187	-82144.902				
0.187	-65949.539				
0.188	-74457.629				
0.188	-65207.646				
0.188	-70621.885				
0.189	-63487.086				
0.189	-68727.691				
0.19	-58972.589				
0.19	-70763.95				
0.19	-26960.702				
0.191	79619.309				
0.191	71584.767				
0.192	76304.469				
0.192	69737.928				
0.192	72847.564				
0.193	67606.959				
0.193	71063.864				
0.194	63439.731				
0.194	71916.251				
0.194	39651.805				
0.195	-72074.101				
0.195	-70558.745				
0.196	-71916.251				
0.196	-68206.787				
0.196	-68443.561				
0.197	-66202.098				
0.197	-66202.098				
0.198	-63202.957				
0.198	-64371.043				
0.198	-53290.005				
0.199	61482.397				
0.199	78182.878				
0.2	72563.434				
0.2	73526.317				
0.2	70037.842				
0.201	70906.014				
0.201	68017.368				
0.202	68175.217				
0.202	65160.291				
0.202	62918.827				
0.203	-50385.574				
0.203	-77409.415				
0.204	-68096.292				
0.204	-71932.036				
0.204	-65807.474				
0.205	-69264.379				
0.205	-63518.656				
0.206	-67464.894				
0.206	-58941.019				
0.206	-68680.336				
0.207	33369.393				
0.207	84575.785				
0.208	69138.099				
0.208	76920.082				
0.208	67796.378				
0.209	73589.456				
0.209	65744.334				
0.21	71916.251				
0.21	60740.504				
0.21	74741.758				
0.211	-19857.472				
0.211	-82650.02				
0.212	-65523.345				
0.212	-74473.414				
0.212	-64465.753				
0.213	-71032.294				
0.213	-62461.064				
0.214	-69390.659				
0.214	-57252.029				
0.214	-73147.478				
0.215	-94.71				
0.215	85791.226				
0.216	68743.476				
0.216	77867.179				
0.216	67843.733				
0.217	74189.285				
0.217	65744.334				
0.218	72579.219				
0.218	60630.009				
0.218	75988.77				
0.219	14159.104				
0.219	-81150.45				
0.22	-66533.582				
0.22	-74252.425				
0.22	-65539.13				
0.221	-70321.971				
0.221	-63818.57				
0.222	-68364.637				
0.222	-59588.202				
0.222	-69674.788				
0.223	-32406.511				
0.223	77141.071				
0.224	72689.714				
0.224	75720.425				
0.224	70290.401				
0.225	72374.015				
0.225	68143.647				
0.226	70542.96				
0.226	64260.549				
0.226	70732.38				
0.227	44718.775				
0.227	-68901.325				
0.228	-71632.122				
0.228	-71269.068				
0.228	-68790.83				
0.229	-67906.873				
0.229	-66928.206				
0.23	-65570.7				
0.23	-64118.484				
0.23	-63218.742				
0.231	-56936.33				
0.231	56999.47				
0.232	79508.814				
0.232	71837.327				
0.232	74220.855				
0.233	69564.293				
0.233	71505.843				
0.234	67449.109				
0.234	68980.25				
0.234	64150.054				
0.235	65949.539				
0.235	-45302.819				
0.236	-78703.782				
0.236	-67401.754				
0.236	-72579.219				
0.237	-65381.28				
0.237	-69832.637				
0.238	-63092.462				
0.238	-68001.583				
0.238	-58293.836				
0.239	-70243.046				
0.239	27371.111				
0.24	85317.677				
0.24	68790.83				
0.24	77298.921				
0.241	67622.744				
0.241	73905.156				
0.242	65523.345				
0.242	72168.811				
0.242	60393.235				
0.243	75704.64				
0.243	-13496.136				
0.244	-82997.289				
0.244	-65302.356				
0.244	-74631.263				
0.245	-64481.538				
0.245	-70984.939				
0.246	-62445.279				
0.246	-69343.304				
0.246	-57394.093				
0.247	-73005.413				
0.247	-6487.616				
0.248	85033.548				
0.248	69090.745				
0.248	77677.76				
0.249	68096.292				
0.249	73999.865				
0.25	66028.463				
0.25	72358.23				
0.25	61135.128				
0.251	75357.371				
0.251	20425.731				
0.252	-79714.019				
0.252	-67243.905				
0.252	-73778.876				
0.253	-66075.818				
0.253	-70022.057				
0.254	-64418.398				
0.254	-68033.153				
0.254	-60345.88				
0.255	-68585.626				
0.255	-37710.256				
0.256	74378.704				
0.256	73778.876				
0.256	75183.737				
0.257	71032.294				
0.257	71853.112				
0.258	68806.615				
0.258	69974.702				
0.258	65128.721				
0.259	69422.229				
0.259	49438.477				
0.26	-65302.356				
0.26	-72958.058				
0.26	-70606.1				
0.261	-69532.723				
0.261	-67401.754				
0.262	-67417.539				
0.262	-65144.506				
0.262	-64986.656				
0.263	-62034.87				
0.263	-60345.88				
0.264	52153.489				
0.264	80803.181				
0.264	71079.649				
0.265	74978.532				
0.265	68996.035				
0.266	72121.456				
0.266	66991.346				
0.266	69769.498				
0.267	63155.602				
0.267	68617.196				
0.268	-40077.999				
0.268	-79714.019				
0.268	-66801.926				
0.269	-73115.908				
0.269	-65081.366				
0.27	-70116.767				
0.27	-62887.258				
0.27	-68522.486				
0.271	-57757.147				
0.271	-71553.197				
0.272	21230.763				
0.272	85933.291				
0.272	68490.916				
0.273	77677.76				
0.273	67512.249				
0.274	74094.575				
0.274	65475.99				
0.274	72437.155				
0.275	60235.385				
0.275	76257.114				
0.276	-7403.144				
0.276	-83123.569				
0.276	-65412.85				
0.277	-74678.618				
0.277	-64576.248				
0.278	-71016.509				
0.278	-62713.623				
0.278	-69311.734				
0.279	-57694.008				
0.279	-72579.219				
0.28	-12249.124				
0.28	84023.311				
0.28	69611.648				
0.281	77440.985				
0.281	68522.486				
0.282	73699.951				
0.282	66391.517				
0.282	72105.671				
0.283	61513.967				
0.283	74631.263				
0.284	25745.26				
0.284	-78088.168				
0.284	-67875.303				
0.285	-73431.607				
0.285	-66517.797				
0.286	-69532.723				
0.286	-64718.312				
0.286	-67543.819				
0.287	-61150.913				
0.287	-67417.539				
0.288	-42366.817				
0.288	71300.638				
0.288	74899.608				
0.289	74457.629				
0.289	71742.617				
0.29	71347.993				
0.29	69327.519				
0.29	69438.014				
0.291	66044.248				
0.291	68238.357				
0.292	53526.78				
0.292	-61798.096				
0.292	-74047.22				
0.293	-69864.207				
0.293	-70195.691				
0.294	-66959.776				
0.294	-67954.228				
0.294	-64655.172				
0.295	-65712.764				
0.295	-61056.203				
0.296	-63060.892				
0.296	47402.217				
0.296	81971.267				
0.297	70511.39				
0.297	75594.146				
0.298	68664.551				
0.298	72642.359				
0.298	66565.152				
0.299	70448.251				
0.299	62287.429				
0.3	70748.165				
0.3	-34805.824				
0.3	-80818.966				
0.301	-66328.378				
0.301	-73621.026				
0.302	-64749.882				
0.302	-70448.251				
0.302	-62666.268				
0.303	-68775.045				
0.303	-57394.093				
0.304	-72374.015				
0.304	15485.04				
0.304	86201.635				
0.305	68380.422				
0.305	77788.254				
0.306	67464.894				
0.306	74220.855				
0.306	65460.205				
0.307	72610.789				
0.307	60124.891				
0.308	76509.673				
0.308	-1247.011				
0.308	-82997.289				
0.309	-65428.635				
0.309	-74694.403				
0.31	-64749.882				
0.31	-70953.369				
0.31	-62887.258				
0.311	-69169.669				
0.311	-58072.847				
0.312	-71995.176				
0.312	-18294.762				
0.312	82507.956				
0.313	70321.971				
0.313	77046.361				
0.314	68948.68				
0.314	73447.392				
0.314	66880.851				
0.315	71742.617				
0.315	62318.999				
0.316	73621.026				
0.316	31585.693				
0.316	-75988.77				
0.317	-68901.325				
0.317	-72863.349				
0.318	-67180.765				
0.318	-69138.099				
0.318	-65349.71				
0.319	-67149.195				
0.319	-61861.236				
0.32	-66265.238				
0.32	-46912.884				
0.32	67701.669				
0.321	76193.974				
0.321	73699.951				
0.322	72421.37				
0.322	70842.874				
0.322	69990.487				
0.323	68885.54				
0.323	66865.066				
0.324	67022.916				
0.324	57536.158				
0.324	-57551.943				
0.325	-75452.081				
0.325	-69153.884				
0.326	-70811.305				
0.326	-66470.442				
0.326	-68443.561				
0.327	-64134.269				
0.327	-66423.087				
0.328	-60077.536				
0.328	-65618.055				
0.328	41845.914				
0.329	83107.784				
0.329	69832.637				
0.33	76130.834				
0.33	68254.142				
0.33	73052.768				
0.331	66202.098				
0.331	71048.079				
0.332	61624.461				
0.332	72658.144				
0.332	-28823.326				
0.333	-81750.278				
0.333	-65854.829				
0.334	-73936.725				
0.334	-64607.818				
0.334	-70700.81				
0.335	-62476.849				
0.335	-69201.239				
0.336	-57220.459				
0.336	-72973.843				
0.336	9234.198				
0.337	86264.775				
0.337	68364.637				
0.338	77930.319				
0.338	67559.604				
0.338	74268.21				
0.339	65507.56				
0.339	72673.929				
0.34	60282.74				
0.34	76509.673				
0.34	4751.271				
0.341	-82539.526				
0.341	-65854.829				
0.342	-74662.833				
0.342	-65049.796				
0.342	-70700.81				
0.343	-63155.602				
0.343	-68885.54				
0.344	-58593.75				
0.344	-71127.004				
0.344	-24040.485				
0.345	80755.826				
0.345	71158.574				
0.346	76572.813				
0.346	69453.798				
0.346	73100.123				
0.347	67259.69				
0.347	71332.208				
0.348	62981.967				
0.348	72500.295				
0.348	36984.148				
0.349	-73510.532				
0.349	-69848.422				
0.35	-72263.52				
0.35	-67749.023				
0.35	-68680.336				
0.351	-65886.399				
0.351	-66470.442				
0.352	-62776.763				
0.352	-65002.441				
0.352	-51111.682				
0.353	63818.57				
0.353	77472.555				
0.354	73005.413				
0.354	73131.693				
0.354	70337.756				
0.355	70574.53				
0.355	68364.637				
0.356	67812.163				
0.356	65870.614				
0.356	61103.558				
0.357	-53005.876				
0.357	-76714.877				
0.358	-68443.561				
0.358	-71600.552				
0.358	-66044.248				
0.359	-69090.745				
0.359	-63676.505				
0.36	-67164.98				
0.36	-59319.858				
0.36	-67670.099				
0.361	36400.104				
0.361	84118.021				
0.362	69438.014				
0.362	76620.168				
0.362	68033.153				
0.363	73463.177				
0.363	65886.399				
0.364	71632.122				
0.364	60993.063				
0.364	74063.005				
0.365	-23014.463				
0.365	-82334.321				
0.366	-65602.27				
0.366	-74347.134				
0.366	-64513.108				
0.367	-70874.444				
0.367	-62445.279				
0.368	-69264.379				
0.368	-57188.889				
0.368	-73163.263				
0.369	3125.421				
0.369	85996.43				
0.37	68538.271				
0.37	77930.319				
0.37	67622.744				
0.371	74236.64				
0.371	65602.27				
0.372	72689.714				
0.372	60487.945				
0.372	76225.544				
0.373	10875.833				
0.373	-81623.998				
0.374	-66186.313				
0.374	-74331.349				
0.374	-65365.495				
0.375	-70479.821				
0.375	-63629.15				
0.376	-68585.626				
0.376	-59209.363				
0.376	-70258.831				
0.377	-29549.434				
0.377	78577.502				
0.378	72105.671				
0.378	76115.049				
0.378	69974.702				
0.379	72673.929				
0.379	67843.733				
0.38	70827.09				
0.38	63818.57				
0.38	71411.133				
0.381	42003.763				
0.381	-70606.1				
0.382	-71016.509				
0.382	-71679.477				
0.382	-68396.207				
0.383	-68191.002				
0.383	-66486.227				
0.384	-65981.109				
0.384	-63613.365				
0.384	-63739.645				
0.385	-54963.211				
0.385	59509.277				
0.386	78814.276				
0.386	72279.305				
0.386	73889.371				
0.387	69785.283				
0.387	71284.853				
0.388	67717.454				
0.388	68554.056				
0.388	64686.742				
0.389	64386.828				
0.389	-48065.186				
0.39	-77977.674				
0.39	-67717.454				
0.39	-72168.811				
0.391	-65507.56				
0.391	-69548.508				
0.392	-63250.311				
0.392	-67701.669				
0.392	-58593.75				
0.393	-69516.938				
0.393	30591.241				
0.394	84923.054				
0.394	68964.465				
0.394	77093.716				
0.395	67654.314				
0.395	73715.736				
0.396	65681.194				
0.396	72010.961				
0.396	60566.869				
0.397	75246.877				
0.397	-16874.116				
0.398	-82792.085				
0.398	-65460.205				
0.398	-74552.339				
0.399	-64434.183				
0.399	-71063.864				
0.4	-62539.989				
0.4	-69374.874				
0.4	-57299.384				
0.401	-73131.693				
0.401	-3093.851				
0.402	85459.742				
0.402	68932.895				
0.402	77819.824				
0.403	67970.013				
0.403	74078.79				
0.404	65870.614				
0.404	72452.94				
0.404	60787.859				
0.405	75736.21				
0.405	17000.396				
0.406	-80487.481				
0.406	-66817.711				
0.406	-74094.575				
0.407	-65744.334				
0.407	-70164.121				
0.408	-64023.774				
0.408	-68206.787				
0.408	-59935.471				
0.409	-69185.454				
0.409	-34821.609				
0.41	75988.77				
0.41	73147.478				
0.41	75499.436				
0.411	70590.315				
0.411	72200.381				
0.412	68380.422				
0.412	70306.186				
0.412	64623.603				
0.413	70179.906				
0.413	46897.099				
0.414	-67370.185				
0.414	-72089.886				
0.414	-70937.584				
0.415	-69106.529				
0.415	-67654.314				
0.416	-67070.27				
0.416	-65444.42				
0.416	-64465.753				
0.417	-62760.978				
0.417	-58451.685				
0.418	54931.641				
0.418	80029.718				
0.418	71537.412				
0.419	74552.339				
0.419	69343.304				
0.42	71789.972				
0.42	67259.69				
0.42	69359.089				
0.421	63723.86				
0.421	67228.12				
0.422	-42998.215				
0.422	-79145.76				
0.422	-67117.625				
0.423	-72847.564				
0.423	-65191.861				
0.424	-69958.917				
0.424	-62997.752				
0.424	-68191.002				
0.425	-58041.277				
0.425	-70937.584				
0.426	24719.238				
0.426	85570.237				
0.426	68664.551				
0.427	77456.77				
0.427	67559.604				
0.428	73984.08				
0.428	65523.345				
0.428	72247.735				
0.429	60251.17				
0.429	75925.63				
0.43	-10717.984				
0.43	-83107.784				
0.43	-65255.001				
0.431	-74694.403				
0.431	-64449.968				
0.432	-70969.154				
0.432	-62571.558				
0.432	-69311.734				
0.433	-57520.373				
0.433	-72879.134				
0.434	-9313.123				
0.434	84575.785				
0.434	69327.519				
0.435	77598.835				
0.435	68238.357				
0.436	73810.446				
0.436	66217.883				
0.436	72247.735				
0.437	61371.902				
0.437	74978.532				
0.438	23093.388				
0.438	-78956.341				
0.438	-67543.819				
0.439	-73621.026				
0.439	-66312.593				
0.44	-69737.928				
0.44	-64576.248				
0.44	-67780.593				
0.441	-60661.579				
0.441	-68064.723				
0.442	-39967.504				
0.442	72894.919				
0.442	74299.779				
0.443	74836.468				
0.443	71426.918				
0.444	71647.907				
0.444	69059.175				
0.444	69706.358				
0.445	65570.7				
0.445	68869.755				
0.446	51474.736				
0.446	-63534.441				
0.446	-73557.887				
0.447	-70195.691				
0.447	-69895.777				
0.448	-67101.84				
0.448	-67638.529				
0.448	-64891.947				
0.449	-65365.495				
0.449	-61513.967				
0.45	-61750.741				
0.45	49785.746				
0.45	81355.654				
0.451	70811.305				
0.451	75262.662				
0.452	68790.83				
0.452	72310.875				
0.452	66770.356				
0.453	70116.767				
0.453	62697.838				
0.454	69801.067				
0.454	-37205.137				
0.454	-80282.277				
0.455	-66517.797				
0.455	-73336.897				
0.456	-64923.517				
0.456	-70337.756				
0.456	-62713.623				
0.457	-68711.906				
0.457	-57551.943				
0.458	-72121.456				
0.458	18184.267				
0.458	86059.57				
0.459	68380.422				
0.459	77756.684				
0.46	67496.464				
0.46	74220.855				
0.46	65475.99				
0.461	72547.65				
0.461	60203.815				
0.462	76399.178				
0.462	-4246.153				
0.462	-83060.429				
0.463	-65428.635				
0.463	-74678.618				
0.464	-64639.387				
0.464	-70953.369				
0.464	-62855.688				
0.465	-69264.379				
0.465	-57820.287				
0.466	-72279.305				
0.466	-15563.965				
0.466	83297.203				
0.467	70006.272				
0.467	77219.996				
0.468	68696.121				
0.468	73589.456				
0.468	66612.507				
0.469	71947.821				
0.469	61955.945				
0.47	74047.22				
0.47	28965.391				
0.47	-76951.652				
0.471	-68443.561				
0.471	-73100.123				
0.472	-66880.851				
0.472	-69343.304				
0.472	-64986.656				
0.473	-67243.905				
0.473	-61545.536				
0.474	-66723.001				
0.474	-44939.765				
0.474	69359.089				
0.475	75562.576				
0.475	73984.08				
0.476	72105.671				
0.476	71079.649				
0.476	69690.573				
0.477	69138.099				
0.477	66423.087				
0.478	67622.744				
0.478	55831.383				
0.478	-59430.353				
0.479	-74836.468				
0.479	-69343.304				
0.48	-70606.1				
0.48	-66644.077				
0.48	-68254.142				
0.481	-64323.688				
0.481	-66107.388				
0.482	-60551.084				
0.482	-64528.893				
0.482	44387.291				
0.483	82618.45				
0.483	70148.336				
0.484	75862.49				
0.484	68475.131				
0.484	72847.564				
0.485	66344.163				
0.485	70827.09				
0.486	61861.236				
0.486	71821.542				
0.486	-31459.414				
0.487	-81324.084				
0.487	-66107.388				
0.488	-73747.306				
0.488	-64670.957				
0.488	-70558.745				
0.489	-62508.419				
0.489	-68948.68				
0.49	-57252.029				
0.49	-72673.929				
0.49	11980.78				
0.491	86217.42				
0.491	68364.637				
0.492	77867.179				
0.492	67496.464				
0.492	74252.425				
0.493	65444.42				
0.493	72705.499				
0.494	60093.321				
0.494	76509.673				
0.494	2130.969				
0.495	-82665.805				
0.495	-65586.485				
0.496	-74631.263				
0.496	-64907.732				
0.496	-70748.165				
0.497	-63076.677				
0.497	-68996.035				
0.498	-58309.621				
0.498	-71537.412				
0.498	-21420.183				
0.499	81623.998				
0.499	70716.595				
0.5	76809.587				
0.5	69138.099				
0.5	73257.972				
0.501	67022.916				
0.501	71537.412				
0.502	62713.623				
0.502	73021.198				
0.502	34521.695				
0.503	-74662.833				
0.503	-69390.659				
0.504	-72563.434				
0.504	-67496.464				
0.504	-68917.11				
0.505	-65633.84				
0.505	-66833.496				
0.506	-62397.924				
0.506	-65554.915				
0.506	-49185.917				
0.507	65775.904				
0.507	76841.157				
0.508	73305.327				
0.508	72815.994				
0.508	70606.1				
0.509	70290.401				
0.509	68538.271				
0.51	67354.4				
0.51	66312.593				
0.51	59540.847				
0.511	-54994.78				
0.511	-76178.189				
0.512	-68696.121				
0.512	-71300.638				
0.512	-66233.668				
0.513	-68790.83				
0.513	-63834.355				
0.514	-66770.356				
0.514	-59746.052				
0.514	-66801.926				
0.515	38941.482				
0.515	83644.472				
0.516	69548.508				
0.516	76383.393				
0.516	68033.153				
0.517	73226.403				
0.517	65981.109				
0.518	71395.348				
0.518	61308.762				
0.518	73368.467				
0.519	-25634.766				
0.519	-82002.837				
0.52	-65744.334				
0.52	-74157.715				
0.52	-64528.893				
0.521	-70763.95				
0.521	-62476.849				
0.522	-69232.809				
0.522	-57173.104				
0.522	-73115.908				
0.523	5761.508				
0.523	86154.28				
0.524	68490.916				
0.524	77914.534				
0.524	67575.389				
0.525	74220.855				
0.525	65570.7				
0.526	72642.359				
0.526	60409.02				
0.526	76320.254				
0.527	8334.456				
0.527	-81987.052				
0.528	-66044.248				
0.528	-74552.339				
0.528	-65176.076				
0.529	-70606.1				
